lon,lat
7.655733298991158620e+01,1.178538190256888285e+01
7.655949486967583084e+01,1.175807358014442983e+01
7.656279731363635221e+01,1.174998744519034410e+01
7.656856223248449567e+01,1.174625735891384970e+01
7.656351296654091243e+01,1.174434754887270849e+01
7.657090459778029867e+01,1.175375860048983512e+01
7.657162239812328153e+01,1.175912397813315202e+01
7.654823299776171552e+01,1.177634103220200146e+01
7.654428106383338104e+01,1.180349158253989295e+01
7.658085689376973448e+01,1.174568151878145095e+01
7.658206762235953136e+01,1.175312731974917213e+01
7.659315627972027585e+01,1.175664601781795504e+01
7.658817073918234541e+01,1.175312573046842779e+01
7.659890029402410505e+01,1.174654466864855351e+01
7.658549126826781617e+01,1.176221096312937675e+01
7.659096424548954474e+01,1.174585333757889138e+01
7.659738964857690746e+01,1.175236946567704166e+01
7.659914714027793536e+01,1.175834279765951251e+01
7.658206871851557196e+01,1.175831391827136407e+01
7.659260875581891526e+01,1.175065775868513995e+01
7.662699321766618255e+01,1.177868328449535973e+01
7.662886599741105442e+01,1.176952557275246036e+01
7.656039445060866910e+01,1.179098940543769025e+01
7.655013097563575286e+01,1.178686334263281132e+01
7.655120674936658531e+01,1.178132164042399310e+01
7.655802199023000298e+01,1.177981319675338767e+01
7.664247110113508654e+01,1.177017823257952323e+01
7.663573657898652414e+01,1.176843378059149892e+01
7.663590146335860709e+01,1.177361002927970368e+01
7.655451522361501304e+01,1.179937171173032517e+01
7.658596668450454104e+01,1.177753990720195887e+01
7.658218337544944632e+01,1.178469475165924152e+01
7.658553529150353256e+01,1.174097393642755627e+01
7.659275899179466762e+01,1.176416007044613643e+01
7.659763371550626232e+01,1.176309701337430802e+01
7.659267032311863943e+01,1.177214272056019517e+01
7.659108194822390203e+01,1.177703162057989594e+01
7.658564488204875431e+01,1.177027844912625199e+01
7.658012560502417898e+01,1.177488575018348627e+01
